Name,Country,Constituency,National_Party,EP_Group,wikidata_id,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Iratxe García,Spain,,PSOE,S&D,Q459373,2024-07-16,1974-10-07,Barakaldo,University of Valladolid,politician || social worker,,Spanish Socialist Workers' Party,,chairperson (from 2019-07-02) || Q66759267 (1995-06-23 to 2000-03-29) || parliamentary group leader (from 2019-07-01) || Member of the Congress of Deputies (2000-03-29 to 2004-01-20) || member of the Provincial Deputation of Valladolid (1995-01-01 to 2000-01-01)
Javi López Fernández,Spain,,PSOE,S&D,,,,,,,,,,
Hana Jalloul,Spain,,PSOE,S&D,,,,,,,,,,
Javier Moreno,Spain,,PSOE,S&D,,,,,,,,,,
Lina Gálvez,Spain,,PSOE,S&D,,,,,,,,,,
Jonás Fernández,Spain,,PSOE,S&D,Q17155376,2024-07-16,1979-01-08,Oviedo,,politician || economist,,Spanish Socialist Workers' Party,,
Leire Pajín,Spain,,PSOE,S&D,Q435199,2024-07-16,1976-09-16,San Sebastián,University of Alicante,politician || sociologist,,Spanish Socialist Workers' Party,Grand Cross of the Order of the Sun of Peru || Grand Cross of the Order of Civil Merit,Member of the Congress of Deputies (2000-03-21 to 2004-04-30) || Member of the Congress of Deputies (2008-03-25 to 2008-04-22) || Member of the Congress of Deputies (2011-11-29 to 2012-07-20) || member of the Senate of Spain (2009-11-25 to 2011-06-29)
César Luena,Spain,,PSOE,S&D,,,,,,,,,,
Idoia Mendia,Spain,,PSOE,S&D,,,,,,,,,,
Nicolás González Casares,Spain,,PSOE,S&D,Q20535883,2024-07-16,1972-07-20,A Coruña,National University of Distance Education || University of Santiago de Compostela,politician || nurse,,Spanish Socialist Workers' Party,,
Cristina Maestre,Spain,,PSOE,S&D,Q62091380,2024-07-16,1975-07-27,Ciudad Real,,politician || social worker,,Spanish Socialist Workers' Party,,Daimiel municipal councillor (2003-01-01 to 2015-01-01) || member of the Senate of Spain (2008-04-01 to 2011-09-27) || member of the Senate of Spain (2004-04-02 to 2008-01-15)
Juan Fernando López,Spain,,PSOE,S&D,,,,,,,,,,
Sandra Gómez,Spain,,PSOE,S&D,,,,,,,,,,
Nacho Sánchez Amor,Spain,,PSOE,S&D,Q5913582,2024-07-16,1960-05-15,Jaraíz de la Vera,Complutense University of Madrid,lawyer || politician,,Spanish Socialist Workers' Party,,Member of the Assembly of Extremadura (2007-05-27 to 2011-05-22) || Member of the Congress of Deputies (from 2016-07-12) || secretary of state of Spain (2018-06-23 to 2019-01-01) || vice president (2004-04-16 to 2007-07-02) || Member of the Congress of Deputies (2016-01-05 to 2016-07-19) || Member of the Congress of Deputies (2011-12-07 to 2015-10-27)
Laura Ballarin,Spain,,PSOE,S&D,,,,,,,,,,
Marcos Ros,Spain,,PSOE,S&D,,,,,,,,,,
Rosa María Serrano Sierra,Spain,,PSOE,S&D,Q111353622,2024-07-16,1969-11-11,Zaragoza,,politician,,Spanish Socialist Workers' Party,,City councillor of Huesca (2019-01-01 to 2021-01-01) || member of the Senate of Spain (2019-04-28 to 2019-09-23) || delegate of the Government of Spain in Aragon (2021-07-29 to 2023-06-15) || member of the Senate of Spain (2023-07-23 to 2024-06-30) || member of the Senate of Spain (2019-10-11 to 2021-07-28)
Elena Sancho,Spain,,PSOE,S&D,Q126486800,2024-07-16,1989-01-26,Ribaforada,,politician,,Spanish Socialist Workers' Party,,council member
José Cepeda,Spain,,PSOE,S&D,Q5938944,2024-07-16,1968-07-19,Ciudad Real,,politician,,Spanish Socialist Workers' Party,,member of the Assembly of Madrid (from 2021-06-08) || Representative of the Parliamentary Assembly of the Council of Europe (from 2016-04-18) || member of the Assembly of Madrid (from 2019-06-11) || member of the Senate of Spain
Alicia Homs Ginel,Spain,,PSOE,S&D,Q64092237,2024-07-16,1993-10-15,Palma,Autonomous University of Barcelona,politician,,Spanish Socialist Workers' Party,,
Jorge Buxadé,Spain,,Vox,Patriots for Europe,,,,,,,,,,
Hermann Tertsch,Spain,,Vox,Patriots for Europe,Q5895692,2024-07-16,1958-04-09,Madrid,,writer || politician || comedian || television presenter || correspondent || journalist,El País,independent politician,Hungarian Order of Merit || Cirilo Rodríguez Award,
Juan Carlos Girauta,Spain,,Vox,Patriots for Europe,Q16300574,2024-07-16,1961-03-12,Barcelona,University of Barcelona || ESADE,writer || lawyer || politician,,People's Party || Ciudadanos || Socialists' Party of Catalonia || Vox,Order of Merit of the Civil Guard,chairperson (from 2020-01-01) || Member of the Congress of Deputies (2019-05-21 to 2019-12-03) || Member of the Congress of Deputies (2016-01-07 to 2016-07-19) || Member of the Congress of Deputies (2016-07-19 to 2019-05-21)
Mireia Borrás,Spain,,Vox,Patriots for Europe,,,,,,,,,,
Margarita de la Pisa Carrión,Spain,,Vox,Patriots for Europe,Q63945501,2024-07-16,1975-09-19,Madrid,Complutense University of Madrid || International University of La Rioja,politician || pharmacist,,Vox,,
Jorge Martín Frías,Spain,,Vox,Patriots for Europe,Q127328445,2024-07-16,1980-04-08,Madrid,,politician,,,,
Diana Riba,Spain,,AR,Greens/EFA,,,,,,,,,,
Pernando Barrena,Spain,,AR,The Left,Q4891277,2024-07-16,1965-11-01,Pamplona,,politician || translator,,Batasuna || Euskal Herria Bildu || Sortu || Herri Batasuna,,spokesperson (2013-02-01 to 2016-07-01) || Member of the Parliament of Navarre (1999-06-26 to 2003-06-17)
Ana Miranda Paz,Spain,,AR,Greens/EFA,Q482983,2024-07-16,1971-05-02,Cuntis,University of A Coruña || UCLouvain || University of Passau || University of Santiago de Compostela,lawyer || politician || jurist,,Galician Nationalist Bloc,,
Estrella Galán,Spain,,Sumar,The Left,Q126339534,2024-07-16,1971-04-24,Madrid,social anthropology || Complutense University of Madrid || Autonomous University of Madrid,politician || human rights defender,,Sumar,,
Jaume Asens,Spain,,Sumar,Greens/EFA,,,,,,,,,,
Vicent Marzà,Spain,,Sumar,Greens/EFA,,,,,,,,,,
Alvise Pérez,Spain,,SALF,Non-Inscrits,Q121434583,2024-07-16,1990-02-26,Seville,,politician || political adviser,,"Union, Progress and Democracy || Ciudadanos || Se Acabó La Fiesta",,
Diego Solier,Spain,,SALF,Non-Inscrits,Q126735144,2024-07-16,1980-04-26,Valencia,,politician,,,,
Nora Junco,Spain,,SALF,Non-Inscrits,Q126919014,2024-07-16,1975-01-31,Madrid,,politician,,,,
Irene Montero,Spain,,Podemos,The Left,Q21706297,2024-07-16,1988-02-13,Madrid,Autonomous University of Madrid || Colegio Siglo XXI,politician || psychologist || activist,,Podemos,Grand Cross of the Order of Charles III || Q119791712,Member of the Congress of Deputies (2019-12-03 to 2023-08-17) || Member of the Congress of Deputies (2016-01-05 to 2016-07-19) || Member of the Congress of Deputies (2016-07-08 to 2019-05-21) || Minister for Equality (2020-01-13 to 2023-11-20) || Member of the Congress of Deputies (2019-05-14 to 2019-12-03)
Isabel Serra,Spain,,Podemos,The Left,Q47490746,2024-07-16,1989-08-15,Madrid,Complutense University of Madrid,politician || activist,,Podemos,,member of the Assembly of Madrid (2015-06-09 to 2019-04-02) || member of the Assembly of Madrid (2019-06-11 to 2021-06-07)
Toni Comín,Spain,,Junts+,Non-Inscrits,,,,,,,,,,
Oihane Agirregoitia,Spain,,CEUS,Renew Europe,Q125821489,2024-07-16,1980-04-18,Bilbao,University of Deusto,engineer || politician,,Basque Nationalist Party,,Q47388883 (2011-01-01 to 2023-01-01)
Heléne Fritzon,Sweden,,SAP,S&D,Q4949040,2024-07-16,1960-09-29,Kristianstads parish,,politician || minister,,Swedish Social Democratic Party,,"Minister for Migration (2017-07-27 to 2019-01-21) || chairman of the municipal board in Kristianstad Municipality, Sweden (2003-01-01 to 2006-01-01) || chairman of the municipal board in Kristianstad Municipality, Sweden (2016-11-01 to 2017-11-01) || chairman of the municipal board in Kristianstad Municipality, Sweden (2014-11-01 to 2015-11-01)"
Johan Danielsson,Sweden,,SAP,S&D,Q63975305,2024-07-16,1982-06-30,Q57393093,Linköping University,politician,,Swedish Social Democratic Party,,Minister for Housing (2021-11-30 to 2022-10-18)
Evin Incir,Sweden,,SAP,S&D,Q63975157,2024-07-16,1984-06-15,Diyarbakır,,politician,,Swedish Social Democratic Party,,
Adnan Dibrani,Sweden,,SAP,S&D,Q5621490,2024-07-16,1985-02-12,Kosovo,,politician,,Swedish Social Democratic Party,,member of the Swedish Riksdag (2014-09-29 to 2018-09-24) || member of the Swedish Riksdag (2018-09-24 to 2022-09-26) || substitute member of the Parliamentary Assembly of the Council of Europe (from 2019-01-21) || member of the Swedish Riksdag (2010-10-04 to 2014-09-29) || member of the Committee on Finance (from 2018-10-02) || member of the Committee on Taxation (2014-10-07 to 2017-09-22) || member of the Swedish Riksdag (2022-09-26 to 2024-07-15)
Sofie Eriksson,Sweden,,SAP,S&D,Q110635584,2024-07-16,1992-12-13,Sandviken parish,,politician,,Swedish Social Democratic Party,,member of the Swedish Riksdag (2022-09-26 to 2024-07-15) || member of the Swedish Riksdag (2022-01-10 to 2022-09-26)
Tomas Tobé,Sweden,,M,EPP,Q6212174,2024-07-16,1978-02-16,Gävle Staffan church parish,,politician,,Moderate Party,,Member of the Committee on the Labour Market (2010-10-12 to 2010-10-12) || Chair of the Committee on Education (2012-06-19 to 2013-09-18) || Chair of the Committee on Justice (2017-06-15 to 2018-09-24) || Chair of the Committee on the Labour Market (2010-10-12 to 2012-06-18) || Member of the Committee on Education (2012-06-19 to 2012-06-19) || Member of the Committee on the Labour Market (2006-10-10 to 2010-10-04) || Member of the Committee on Education (2014-10-07 to 2014-12-19) || Member of the Committee on Justice (2018-10-02 to 2019-02-13) || member of the Swedish Riksdag (2018-09-24 to 2019-07-01) || Chair of the Committee on Education (2013-12-09 to 2014-09-29) || member of the Committee on European Union Affairs (2019-02-14 to 2019-03-01) || member of the Swedish Riksdag (2006-10-02 to 2010-10-04) || member of the Swedish Riksdag (2010-10-04 to 2013-09-17) || Member of the Committee on Justice (2017-06-15 to 2017-06-15) || Member of the Committee on Education (2013-09-19 to 2013-12-08) || member of the Swedish Riksdag (2013-12-09 to 2014-09-29) || member of the Swedish Riksdag (2014-09-29 to 2018-09-24)
